,Company,Ticker_1,Ticker_2,ESG score,ESG risk
0,"1-800-FLOWERS.COM, Inc.",NAS,FLWS,28.9,Medium
1,1&1 AG,ETR,1U1,27.7,Medium
2,"10X Genomics, Inc.",NAS,TXG,22.5,Medium
3,11 Bit Studios SA,WAR,11B,16.3,Low
4,1st Source Corp.,NAS,SRCE,35.0,High
5,2020 Bulkers Ltd.,OSL,2020,24.4,Medium
6,23andMe Holding Co.,OTC,MEHCQ,21.4,Medium
7,29metals Ltd.,ASX,29M,38.5,High
8,2i Rete Gas SpA,-,,23.1,Medium
9,"2seventy Bio, Inc.",NAS,TSVT,35.9,High
10,2U LLC,-,,25.3,Medium
11,360 One Wam Ltd.,BOM,542772,24.7,Medium
12,"360 Security Technology, Inc.",SHG,601360,22.1,Medium
13,361 Degrees International Ltd.,HKG,1361,18.1,Low
14,37 Interactive Entertainment Network Technology Group Co. Ltd.,SHE,002555,16.4,Low
15,"374Water, Inc.",NAS,SCWO,29.2,Medium
16,"3D Medicines, Inc.",HKG,1244,32.4,High
17,3D Systems Corp.,NYS,DDD,24.3,Medium
18,3i Group Plc,LON,III,10.4,Low
19,3M Co.,NYS,MMM,43.0,Severe
20,3M India Ltd.,BOM,523395,22.9,Medium
21,"3peak, Inc.",SHG,688536,34.7,High
22,"3SBio, Inc.",HKG,1530,24.0,Medium
23,407 East Development Group GP,-,,44.0,Severe
24,"407 International, Inc.",-,,10.8,Low
25,"4D Molecular Therapeutics, Inc.",NAS,FDMT,35.1,High
26,4imprint Group Plc,LON,FOUR,16.5,Low
27,"5E Advanced Materials, Inc.",NAS,FEAM,42.0,Severe
28,5I5J Holding Group Co. Ltd.,SHE,000560,14.9,Low
29,"7-Eleven, Inc.",-,,33.8,High
30,74Software,PAR,74SW,20.7,Medium
31,"89bio, Inc.",NAS,ETNB,32.9,High
32,"8x8, Inc.",NAS,EGHT,23.2,Medium
33,"908 Devices, Inc.",NAS,MASS,30.2,High
34,"91APP, Inc.",ROCO,6741,20.6,Medium
35,A Sub Above LLC,-,,33.2,High
36,"A-Living Smart City Services Co., Ltd.",HKG,3319,13.3,Low
37,"A-Mark Precious Metals, Inc.",NAS,AMRK,29.0,Medium
38,A. O. Smith Corp.,NYS,AOS,26.8,Medium
39,A.G. BARR Plc,LON,BAG,26.7,Medium
40,A.P. Møller-Mærsk A/S,CSE,MAERSK.B,15.2,Low
41,"A10 Networks, Inc.",NYS,ATEN,20.5,Medium
42,A2A SpA,MIL,A2A,20.1,Medium
43,A2Dominion Housing Group Ltd.,-,,16.6,Low
44,AA Ltd.,-,,12.7,Low
45,"AAC Technologies Holdings, Inc.",HKG,2018,17.7,Low
46,Aadhar Housing Finance Ltd.,BOM,544176,28.6,Medium
47,"Aadi Bioscience, Inc.",NAS,WHWK,26.4,Medium
48,AAEON Technology Inc.,TAI,6579,20.2,Medium
49,AAK AB,OME,AAK,26.7,Medium
50,Aalberts NV,AMS,AALB,26.2,Medium
51,Aamal Co. QSC,DSMD,AHCS,47.2,Severe
52,"AAON, Inc.",NAS,AAON,21.5,Medium
53,AAR Corp.,NYS,AIR,40.6,Severe
54,Aareal Bank AG,-,,18.1,Low
55,Aarti Drugs Ltd.,BOM,524348,32.8,High
56,AARTI Industries Ltd.,BOM,524208,28.3,Medium
57,Aavas Financiers Ltd.,BOM,541988,23.9,Medium
58,AB Dynamics Plc,LON,ABDP,15.4,Low
59,AB SA,WAR,ABE,15.4,Low
60,ABA Chemicals Corp.,SHE,300261,36.2,High
61,Abacus Group,ASX,ABG,18.5,Low
62,Abacus Storage King,ASX,ASK,16.2,Low
63,ABANCA Corporación Bancaria SA,-,,6.8,Negligible
64,ABB India Ltd.,BOM,500002,22.3,Medium
65,ABB Ltd.,SWX,ABBN,15.4,Low
66,Abbey Plc,-,,29.2,Medium
67,Abbott Laboratories,NYS,ABT,20.4,Medium
68,"AbbVie, Inc.",NYS,ABBV,24.3,Medium
69,ABC arbitrage SA,PAR,ABCA,24.1,Medium
70,"ABC-MART, INC.",TKS,2670,19.9,Low
71,"AbCellera Biologics, Inc.",NAS,ABCL,31.4,High
72,"AbClon, Inc.",KRX,174900,32.5,High
73,Abdullah Al Othaim Markets Co.,SAU,4001,23.6,Medium
74,Abeille Vie SA,-,,24.3,Medium
75,Abercrombie & Fitch Co.,NYS,ANF,16.3,Low
76,Abertis Infraestructuras SA,-,,6.7,Negligible
77,"Ability Enterprise Co., Ltd.",TAI,2374,22.4,Medium
78,"Ability Opto-Electronics Technology Co., Ltd.",ROCO,3362,28.6,Medium
79,Abivax SA,PAR,ABVX,33.3,High
80,"ABL Bio, Inc.",KRX,298380,41.6,Severe
81,"ABLE C&C Co., Ltd.",KRX,078520,33.6,High
82,Abliva AB,-,,29.2,Medium
83,"ABM Industries, Inc.",NYS,ABM,14.3,Low
84,ABN AMRO Bank NV,AMS,ABN,18.6,Low
85,"Aboitiz Equity Ventures, Inc.",PHS,AEV,36.1,High
86,Aboitiz Power Corp.,PHS,AP,27.3,Medium
87,Abou Kir Fertilizers,CAI,ABUK,37.7,High
88,ABOUT YOU Holding SE,ETR,YOU,17.2,Low
89,Abra Global Finance,-,,35.1,High
90,abrdn European Logistics Income Plc,LON,ASLI,17.0,Low
91,abrdn Plc,LON,ABDN,17.6,Low
92,abrdn Property Income Trust Ltd.,LON,API,11.3,Low
93,Absa Group Ltd.,JSE,ABG,24.4,Medium
94,Abu Dhabi Aviation Co.,ADS,ADAVIATION,31.8,High
95,Abu Dhabi Commercial Bank,ADS,ADCB,14.3,Low
96,Abu Dhabi Crude Oil Pipeline LLC,-,,37.8,High
97,Abu Dhabi Islamic Bank,ADS,ADIB,30.2,High
98,Abu Dhabi National Energy Co. PJSC,ADS,TAQA,18.1,Low
99,Abu Dhabi National Hotels,ADS,ADNH,29.9,Medium
100,Abu Dhabi National Oil Co. for Distribution PJSC,ADS,ADNOCDIST,25.6,Medium
101,Abu Dhabi Ports Co. PJSC,ADS,ADPORTS,26.0,Medium
102,Acacia Research Corp.,NAS,ACTG,24.1,Medium
103,AcadeMedia AB,OME,ACAD,16.0,Low
104,"Academy Sports & Outdoors, Inc.",NAS,ASO,15.9,Low
105,"Acadia Healthcare Co., Inc.",NAS,ACHC,29.7,Medium
106,"ACADIA Pharmaceuticals, Inc.",NAS,ACAD,30.6,High
107,Acadia Realty Trust,NYS,AKR,16.7,Low
108,"Acadian Asset Management, Inc.",NYS,AAMI,31.3,High
109,"AcBel Polytech, Inc.",TAI,6282,27.0,Medium
110,ACC Ltd.,BOM,500410,22.2,Medium
111,"Accel Entertainment, Inc.",NYS,ACEL,19.5,Low
112,"Accelink Technologies Co., Ltd.",SHE,002281,26.1,Medium
113,Accelleron Industries AG,SWX,ACLN,28.3,Medium
114,Accent Group Ltd.,ASX,AX1,16.0,Low
115,Accenture Plc,NYS,ACN,11.1,Low
116,Accès Recherche Montréal LP,-,,34.9,High
117,Access Bank Plc,-,,28.7,Medium
118,Access Prairies Partnership,-,,45.7,Severe
119,Acciona SA,MCE,ANA,18.8,Low
120,ACCO Brands Corp.,NYS,ACCO,8.6,Negligible
121,"Accolade, Inc.",NAS,ACCD,21.6,Medium
122,Accor SA,PAR,AC,16.1,Low
123,Accton Technology Corp.,TAI,2345,21.3,Medium
124,"Accuray, Inc.",NAS,ARAY,31.6,High
125,Ace Technologies Corp.,KRX,088800,25.0,Medium
126,Acea SpA,MIL,ACE,15.6,Low
127,ACEN Corp.,PHS,ACEN,29.0,Medium
128,"Acer, Inc.",TAI,2353,13.3,Low
129,Acerinox SA,MCE,ACX,28.3,Medium
130,Achilles Corp.,TKS,5142,29.7,Medium
131,Achmea Bank NV,-,,21.5,Medium
132,Achmea BV,-,,14.3,Low
133,"ACI Worldwide, Inc.",NAS,ACIW,18.3,Low
134,Ackermans & van Haaren NV,BRU,ACKB,7.2,Negligible
135,"Aclaris Therapeutics, Inc.",NAS,ACRS,32.7,High
136,"ACM Research (Shanghai), Inc.",SHG,688082,31.3,High
137,"ACM Research, Inc.",NAS,ACMR,32.1,High
138,ACNB Corp.,NAS,ACNB,33.5,High
139,"ACOM Co., Ltd.",TKS,8572,26.1,Medium
140,ACOMO NV,AMS,ACOMO,11.6,Low
141,Acrinova AB,OME,ACRI.A,23.1,Medium
142,"Acrivon Therapeutics, Inc.",NAS,ACRV,35.8,High
143,"ACS, Actividades de Construcción y Servicios SA",MCE,ACS,27.2,Medium
144,Acter Group Corp. Ltd.,ROCO,5536,28.9,Medium
145,Actic Group AB,OME,ATIC,32.0,High
146,Action Construction Equipment Ltd.,BOM,532762,31.2,High
147,Actium Holdings Plc,-,,20.6,Medium
148,Active Biotech AB,OME,ACTI,28.1,Medium
149,"Activia Properties, Inc.",TKS,3279,9.5,Negligible
150,"Activision Blizzard, Inc.",-,,13.8,Low
151,Actron Technology Corp.,ROCO,8255,19.5,Low
152,"Acuity Brands, Inc.",NYS,AYI,18.0,Low
153,Acushnet Holdings Corp.,NYS,GOLF,13.7,Low
154,"ACV Auctions, Inc.",NYS,ACVA,30.0,Medium
155,ACWA Power Co.,SAU,2082,33.1,High
156,ADAMA Ltd.,SHE,000553,38.5,High
157,Adani Electricity Mumbai Ltd.,-,,25.1,Medium
158,Adani Energy Solutions Ltd.,BOM,539254,27.9,Medium
159,Adani Enterprises Ltd.,BOM,512599,33.4,High
160,Adani Green Energy Ltd.,BOM,541450,15.0,Low
161,Adani Ports & Special Economic Zone Ltd.,BOM,532921,8.5,Negligible
162,Adani Power Ltd.,BOM,533096,33.1,High
163,Adani Total Gas Ltd.,BOM,542066,26.6,Medium
164,Adani Wilmar Ltd.,BOM,543458,36.6,High
165,AdaptHealth Corp.,NAS,AHCO,35.2,High
166,Adaptive Biotechnologies Corp.,NAS,ADPT,18.9,Low
167,"Adastria Co., Ltd.",TKS,2685,18.3,Low
168,"ADATA Technology Co., Ltd.",ROCO,3260,35.9,High
169,ADBRI Ltd.,-,,34.6,High
170,AddLife AB,OME,ALIF.B,28.3,Medium
171,Addnode Group AB,OME,ANOD.B,19.8,Low
172,"Addsino Co., Ltd.",SHE,000547,23.7,Medium
173,Addtech AB,OME,ADDT.B,20.8,Medium
174,Addus HomeCare Corp.,NAS,ADUS,25.0,Medium
175,Adecco Group AG,SWX,ADEN,7.0,Negligible
176,Adecoagro SA,NYS,AGRO,30.4,High
177,"Adeia, Inc.",NAS,ADEA,30.1,High
178,Adeka Corp.,TKS,4401,25.7,Medium
179,"ADENTRA, Inc.",TSE,ADEN,23.0,Medium
180,Ades Holding Co.,SAU,2382,32.3,High
181,adesso SE,ETR,ADN1,22.3,Medium
182,Adevinta ASA,-,,21.1,Medium
183,"Adicet Bio, Inc.",NAS,ACET,26.6,Medium
184,adidas AG,ETR,ADS,16.0,Low
185,Adient plc,NYS,ADNT,13.0,Low
186,Adimmune Corp.,TAI,4142,30.3,High
187,Aditya Birla Capital Ltd.,BOM,540691,12.4,Low
188,Aditya Birla Fashion & Retail Ltd.,BOM,535755,23.8,Medium
189,Aditya Birla Real Estate Ltd.,BOM,500040,38.2,High
190,"Adlink Technology, Inc.",TAI,6166,23.1,Medium
191,"ADMA Biologics, Inc.",NAS,ADMA,34.5,High
192,Admicom Oyj,HEL,ADMCM,26.8,Medium
193,Admie Holdings (IPTO) SA,ATH,ADMIE,31.8,High
194,Admiral Group Plc,LON,ADM,24.2,Medium
195,ADNOC Drilling Co. PJSC,ADS,ADNOCDRILL,23.6,Medium
196,ADNOC Logistics & Services Plc,ADS,ADNOCLS,22.9,Medium
197,"Adobe, Inc.",NAS,ADBE,14.4,Low
198,Adolf Würth GmbH & Co. KG,-,,26.3,Medium
199,Adriatic Metals Plc,ASX,ADT,40.2,Severe
200,ADS-TEC Energy Plc,NAS,ADSE,28.5,Medium
201,"ADT, Inc.",NYS,ADT,22.4,Medium
202,"Adtalem Global Education, Inc.",NYS,ATGE,12.1,Low
203,"ADTRAN Holdings, Inc.",NAS,ADTN,22.1,Medium
204,Adtran Networks SE,ETR,ADV,14.5,Low
205,"ADVAN GROUP CO., LTD",TKS,7463,26.1,Medium
206,"Advance Auto Parts, Inc.",NYS,AAP,10.7,Low
207,Advance Logistics Investment Corp.,-,,15.9,Low
208,Advance Residence Investment Corp.,TKS,3269,16.8,Low
209,Advanced Ceramic X Corp.,ROCO,3152,24.8,Medium
210,"Advanced Drainage Systems, Inc.",NYS,WMS,25.4,Medium
211,"Advanced Energy Industries, Inc.",NAS,AEIS,25.0,Medium
212,"Advanced Energy Solution Holding Co., Ltd.",TAI,6781,19.0,Low
213,Advanced Enzyme Technologies Ltd.,BOM,540025,33.4,High
214,Advanced Fiber Resources Zhuhai Ltd.,SHE,300620,25.7,Medium
215,"Advanced Flower Capital, Inc.",NAS,AFCG,26.3,Medium
216,Advanced Info Service Public Co. Ltd.,BKK,ADVANC,21.9,Medium
217,Advanced International Multitech Co. Ltd.,ROCO,8938,15.0,Low
218,Advanced Medical Solutions Group Plc,LON,AMS,18.5,Low
219,"Advanced Micro Devices, Inc.",NAS,AMD,12.5,Low
220,"Advanced Micro Fabrication Equipment, Inc. China",SHG,688012,22.5,Medium
221,"Advanced Nano Products Co., Ltd.",KRX,121600,31.2,High
222,Advanced Petrochemical Co.,SAU,2330,26.1,Medium
223,Advanced Process Systems Corp.,KRX,265520,29.4,Medium
224,"Advanced Technology & Materials Co., Ltd.",SHE,000969,53.0,Severe
225,Advanced Wireless Semiconductor Co.,ROCO,8086,20.6,Medium
226,Advancetek Enterprise Co. Ltd.,TAI,1442,26.3,Medium
227,"Advansix, Inc.",NYS,ASIX,22.7,Medium
228,Advantage Energy Ltd.,TSE,AAV,38.6,High
229,"Advantage Solutions, Inc. (California)",NAS,ADV,20.5,Medium
230,"Advantech Co., Ltd.",TAI,2395,16.1,Low
231,Advantest Corp.,TKS,6857,16.8,Low
232,ADvTECH Ltd.,JSE,ADH,17.2,Low
233,Adyen NV,AMS,ADYEN,18.1,Low
234,"AECC Aero-engine Control Co., Ltd.",SHE,000738,44.2,Severe
235,"AECC Aviation Power Co., Ltd.",SHG,600893,49.3,Severe
236,AECI Ltd.,JSE,AFE,27.1,Medium
237,AECOM,NYS,ACM,26.9,Medium
238,"Aecon Group, Inc.",TSE,ARE,37.1,High
239,AEDAS Homes SA,MCE,AEDAS,12.6,Low
240,Aedifica SA,BRU,AED,9.3,Negligible
241,Aegean Airlines SA,ATH,AEGN,27.7,Medium
242,Aegis Logistics Ltd.,BOM,500003,40.8,Severe
243,Aegon Ltd.,AMS,AGN,14.6,Low
244,Aehr Test Systems,NAS,AEHR,26.8,Medium
245,"Aekyung Chemical Co., Ltd.",KRX,161000,26.3,Medium
246,"Aekyung Industrial Co., Ltd.",KRX,018250,30.4,High
247,AEM Holdings Ltd.,SES,AWX,19.7,Low
248,Aena S.M.E. SA,MCE,AENA,9.9,Negligible
249,AEON Co. (Malaysia) Bhd.,KLS,6599,17.4,Low
250,"AEON Co., Ltd.",TKS,8267,23.1,Medium
251,AEON Credit Service (M) Bhd.,KLS,5139,22.3,Medium
252,"AEON DELIGHT CO., LTD.",TKS,9787,23.6,Medium
253,"AEON Fantasy Co., Ltd.",TKS,4343,29.7,Medium
254,"AEON Financial Service Co., Ltd.",TKS,8570,28.3,Medium
255,AEON Hokkaido Corp.,TKS,7512,20.5,Medium
256,"AEON Kyushu Co., Ltd.",TKS,2653,21.2,Medium
257,"AEON Mall Co., Ltd.",TKS,8905,19.0,Low
258,AEON REIT Investment Corp.,TKS,3292,16.5,Low
259,AEON Thana Sinsap (Thailand) Public Co. Ltd.,BKK,AEONTS,24.7,Medium
260,AerCap Holdings NV,NYS,AER,17.8,Low
261,Aeroporti di Roma SpA,-,,13.7,Low
262,Aéroports de Montréal,-,,17.3,Low
263,Aéroports de Paris ADP,PAR,ADP,20.8,Medium
264,Aeropuerto Internacional De La Ciudad De México S.A. de C.V.,-,,22.8,Medium
265,Aeropuertos Dominicanos Siglo XXI SA,-,,23.7,Medium
266,"Aerospace Hi-Tech Holding Group Co., Ltd.",SHE,000901,28.9,Medium
267,"Aerovate Therapeutics, Inc.",NAS,AVTE,30.3,High
268,"AeroVironment, Inc.",NAS,AVAV,31.8,High
269,AerSale Corp.,NAS,ASLE,20.1,Medium
270,AES Andes SA,-,,30.8,High
271,AES Brasil Energia SA,-,,10.4,Low
272,Aether Industries Ltd.,BOM,543534,40.4,Severe
273,"Aeva Technologies, Inc.",NAS,AEVA,37.2,High
274,AEVIS VICTORIA SA,SWX,AEVS,39.0,High
275,AEW UK REIT Plc,LON,AEWU,19.1,Low
276,AF Gruppen ASA,OSL,AFG,36.4,High
277,"Affiliated Managers Group, Inc.",NYS,AMG,18.6,Low
278,Affin Bank Bhd.,KLS,5185,26.7,Medium
279,Affinity Water Ltd.,-,,32.1,High
280,"Affirm Holdings, Inc.",NAS,AFRM,22.9,Medium
281,Affle (India) Ltd.,BOM,542752,20.5,Medium
282,Affordable Housing Finance Plc,-,,29.3,Medium
283,AFI Properties Ltd.,TAE,AFPR,24.7,Medium
284,"Aflac, Inc.",NYS,AFL,18.6,Low
285,Africa Finance Corp.,-,,14.1,Low
286,Africa Israel Residences Ltd.,TAE,AFRE,24.5,Medium
287,Africa Oil Corp.,TSE,AOI,50.0,Severe
288,African Export-Import Bank,MAU,AEIB.N0004,38.0,High
289,African Rainbow Minerals Ltd.,JSE,ARI,30.7,High
290,African Risk Capacity Ltd.,-,,8.0,Negligible
291,Afrimat Ltd.,JSE,AFT,34.4,High
292,AFRY AB,OME,AFRY,17.0,Low
293,After You Public Co. Ltd.,BKK,AU,33.2,High
294,AG Anadolu Grubu Holding AS,IST,AGHOL.E,34.7,High
295,"Ag Growth International, Inc.",TSE,AFN,28.9,Medium
296,"AGC, Inc. (Japan)",TKS,5201,22.8,Medium
297,AGCO Corp.,NYS,AGCO,17.2,Low
298,AGCO Finance LLC,-,,21.9,Medium
299,ageas SA/NV,BRU,AGS,15.1,Low
300,Agence Française de Développement,-,,10.5,Low
301,Agence France Locale Société anonyme,-,,16.1,Low
302,"Agenus, Inc.",NAS,AGEN,36.0,High
303,AGI Greenpac Ltd.,BOM,500187,20.2,Medium
304,Agile Group Holdings Ltd.,HKG,3383,24.0,Medium
305,"Agilent Technologies, Inc.",NYS,A,10.1,Low
306,"Agiliti, Inc. (Minnesota)",-,,20.3,Medium
307,Agility Public Warehousing Co. KSC,KUW,AGLTY,18.1,Low
308,"Agilon Health, Inc.",NYS,AGL,23.5,Medium
309,"Agilysys, Inc.",NAS,AGYS,13.3,Low
310,"Agios Pharmaceuticals, Inc.",NAS,AGIO,26.6,Medium
311,AGL Energy Ltd.,ASX,AGL,32.9,High
312,AGNC Investment Corp.,NAS,AGNC,8.7,Negligible
313,Agnico Eagle Mines Ltd.,TSE,AEM,22.0,Medium
314,AGRANA Beteiligungs-AG,WBO,AGR,29.4,Medium
315,Agree Realty Corp.,NYS,ADC,14.1,Low
316,Agricultural Bank of China Ltd.,HKG,1288,32.6,High
317,Agricultural Bank of China Ltd. (Singapore),-,,28.8,Medium
318,Agricultural Development Bank of China,-,,16.4,Low
319,Agrosuper SA,-,,36.5,High
320,Agthia Group PJSC,ADS,AGTHIA,25.6,Medium
321,Agua y Saneamientos Argentinos SA,-,,41.7,Severe
322,Aguas Andinas SA,SGO,AGUAS.A,24.4,Medium
323,AGV Products Corp.,TAI,1217,35.3,High
324,Ahlatci Dogal Gaz Dagitim Enerji ve Yatirim AS,IST,AHGAZ.E,45.6,Severe
325,Ahli Bank QPSC,DSMD,ABQK,35.0,High
326,Ahluwalia Contracts (India) Ltd.,BOM,532811,40.8,Severe
327,"Ahnlab, Inc.",KRX,053800,25.5,Medium
328,Ai Holdings Corp.,TKS,3076,18.7,Low
329,AIA Engineering Ltd.,BOM,532683,26.0,Medium
330,AIA Group Ltd.,HKG,1299,14.3,Low
331,AIB Group plc,DUB,A5G,15.9,Low
332,"Aica Kogyo Co., Ltd.",TKS,4206,26.9,Medium
333,Aichi Corp.,TKS,6345,31.1,High
334,"Aichi Financial Group, Inc.",TKS,7389,29.6,Medium
335,Aichi Steel Corp.,TKS,5482,36.8,High
336,Aida Engineering Ltd.,TKS,6118,38.5,High
337,"Aier Eye Hospital Group Co., Ltd.",SHE,300015,25.2,Medium
338,AIFUL Corp.,TKS,8515,29.9,Medium
339,"AIM Vaccine Co., Ltd.",HKG,6660,27.5,Medium
340,"AIMA Technology Group Co., Ltd.",SHG,603529,13.0,Low
341,AIMCo Realty Investors LP,-,,28.5,Medium
342,AIMECHATEC Ltd.,TKS,6227,25.0,Medium
343,AIMS APAC REIT,SES,O5RU,14.1,Low
344,"Ain Holdings, Inc.",TKS,9627,20.7,Medium
345,"Aiphone Co., Ltd.",TKS,6718,25.8,Medium
346,Air Arabia PJSC,DFM,AIRARABIA,37.5,High
347,Air Canada,TSE,AC,25.5,Medium
348,Air China Ltd.,HKG,753,28.7,Medium
349,Air France-KLM SA,PAR,AF,22.6,Medium
350,Air Lease Corp.,NYS,AL,13.4,Low
351,Air Liquide SA,PAR,AI,13.2,Low
352,Air New Zealand Ltd.,NZE,AIR,29.8,Medium
353,"Air Products & Chemicals, Inc.",NYS,APD,14.8,Low
354,"Air Transport Services Group, Inc.",NAS,ATSG,22.8,Medium
355,"Air Water, Inc.",TKS,4088,22.6,Medium
356,"Airbnb, Inc.",NAS,ABNB,23.3,Medium
357,Airbus SE,PAR,AIR,24.1,Medium
358,Aircastle Ltd.,-,,21.7,Medium
359,Airoha Technology Corp.,TAI,6526,35.6,High
360,Airport Authority Hong Kong,-,,13.2,Low
361,Airport City Ltd.,TAE,ARPT,24.4,Medium
362,"Airport Facilities Co., Ltd.",TKS,8864,23.9,Medium
363,Airports of Thailand Public Co. Ltd.,BKK,AOT,22.2,Medium
364,"AirSculpt Technologies, Inc.",NAS,AIRS,33.1,High
365,Airservices Australia,-,,19.3,Low
366,Airtac International Group,TAI,1590,30.0,High
367,Airtel Africa Plc,LON,AAF,22.0,Medium
368,AirTrip Corp.,TKS,6191,33.3,High
369,"Aisan Industry Co., Ltd.",TKS,7283,25.6,Medium
370,Aisin Corp.,TKS,7259,24.5,Medium
371,Aisino Corp.,SHG,600271,25.0,Medium
372,AIXTRON SE,ETR,AIXA,20.8,Medium
373,AJ Bell Plc,LON,AJB,23.9,Medium
374,Ajanta Pharma Ltd.,BOM,532331,30.7,High
375,"Ajinomoto Co., Inc.",TKS,2802,24.7,Medium
376,Ajman Bank PJSC,DFM,AJMANBANK,37.6,High
377,AK Medical Holdings Ltd.,HKG,1789,27.9,Medium
378,"Akamai Technologies, Inc.",NAS,AKAM,13.3,Low
379,"Akatsuki, Inc.",TKS,3932,24.1,Medium
380,Akbank TAS,IST,AKBNK.E,14.8,Low
381,Akcansa Cimento Sanayi ve Ticaret AS,IST,AKCNS.E,28.7,Medium
382,Akelius Residential Property AB,OME,AKEL.D,16.8,Low
383,Aker ASA,OSL,AKER,12.3,Low
384,Aker BP ASA,OSL,AKRBP,33.9,High
385,Aker Carbon Capture AS,OSL,ACC,23.0,Medium
386,Aker Solutions ASA,OSL,AKSO,19.5,Low
387,"Akero Therapeutics, Inc.",NAS,AKRO,37.6,High
388,"Akeso, Inc.",HKG,9926,32.3,High
389,Akfen Yenilenebilir Enerji AS,IST,AKFYE.E,27.9,Medium
390,Akis Gayrimenkul Yatirim Ortakligi AS,IST,AKSGY.E,11.4,Low
391,"Akoustis Technologies, Inc.",OTC,AKTSQ,24.4,Medium
392,"Akoya Biosciences, Inc.",NAS,AKYA,31.8,High
393,Aksa Akrilik Kimya Sanayii AS,IST,AKSA.E,15.7,Low
394,Aksa Enerji Üretim AS,IST,AKSEN.E,34.3,High
395,Aksigorta AS,IST,AKGRT.E,23.9,Medium
396,Aktia Bank Plc,HEL,AKTIA,26.1,Medium
397,Aktor Societe Anonyme Holding Co. Technical & Energy Projects,ATH,AKTR,33.9,High
398,Akzo Nobel India Ltd.,BOM,500710,26.5,Medium
399,Akzo Nobel NV,AMS,AKZA,19.1,Low
400,Al Ahli Bank of Kuwait KSC,KUW,ABK,29.9,Medium
401,Al Dawaa Medical Services Co.,SAU,4163,19.5,Low
402,Al Hammadi Holding,SAU,4007,33.2,High
403,Al Imtiaz Investment Group KSCC,KUW,ALIMTIAZ,40.8,Severe
404,Al Masane Al Kobra Mining Co.,SAU,1322,45.4,Severe
405,Al Moammar Information Systems Co.,SAU,7200,27.2,Medium
406,Al Rajhi Bank,SAU,1120,24.7,Medium
407,Al Rajhi Co. for Cooperative Insurance,SAU,8230,35.4,High
408,Al Rajhi REIT Fund,SAU,4340,24.5,Medium
409,Al Seer Marine Supplies & Equipment Company PJSC,ADS,ASM,36.9,High
410,Al-Jouf Agricultural Development Co.,SAU,6070,47.4,Severe
411,Al-Saif Stores for Development & Investment Co.,SAU,4192,39.2,High
412,Alabama Power Co.,-,,51.6,Severe
413,ALAFCO Aviation Lease & Finance Co.,-,,34.8,High
414,AlAmar Foods Co.,SAU,6014,34.9,High
415,"Alamo Group, Inc.",NYS,ALG,22.4,Medium
416,"Alamos Gold, Inc.",TSE,AGI,34.9,High
417,Ålandsbanken Abp,HEL,ALBBV,25.1,Medium
418,Alarko Holding AS,IST,ALARK.E,31.2,High
419,"Alarm.com Holdings, Inc.",NAS,ALRM,24.4,Medium
420,"Alaska Air Group, Inc.",NYS,ALK,25.3,Medium
421,Albany International Corp.,NYS,AIN,27.1,Medium
422,Albaraka Türk Katilim Bankasi AS,IST,ALBRK.E,32.7,High
423,Albemarle Corp.,NYS,ALB,20.1,Medium
424,Alberta Capital Finance Authority,-,,19.4,Low
425,Alberta PowerLine LP,-,,45.7,Severe
426,"Albertsons Cos., Inc.",NYS,ACI,32.0,High
427,Alchip Technologies Ltd.,TAI,3661,32.6,High
428,Alcoa Corp.,NYS,AA,25.1,Medium
429,Alcon AG,SWX,ALC,19.6,Low
430,ALCONIX Corp.,TKS,3036,45.2,Severe
431,Aldar Investment Properties LLC,-,,14.1,Low
432,Aldar Properties PJSC,ADS,ALDAR,15.7,Low
433,"Aldeyra Therapeutics, Inc.",NAS,ALDX,40.1,Severe
434,Aldrees Petroleum & Transport Services Co.,SAU,4200,46.5,Severe
435,Aleatica SAB de CV,MEX,ALEATIC,11.4,Low
436,"Alector, Inc.",NAS,ALEC,33.4,High
437,"Alectra, Inc. (Canada)",-,,41.7,Severe
438,Alembic Pharmaceuticals Ltd.,BOM,533573,35.2,High
439,Alerion Cleanpower SpA,MIL,ARN,27.5,Medium
440,Alerus Financial Corp.,NAS,ALRS,29.8,Medium
441,"Alexander & Baldwin, Inc.",NYS,ALEX,24.7,Medium
442,"Alexander Marine Co., Ltd.",TAI,8478,13.7,Low
443,"Alexander's, Inc.",NYS,ALX,17.8,Low
444,Alexandria Mineral Oils Co.,CAI,AMOC,33.0,High
445,"Alexandria Real Estate Equities, Inc.",NYS,ARE,13.2,Low
446,Alfa Financial Software Holdings Plc,LON,ALFA,18.7,Low
447,Alfa Laval AB,OME,ALFA,25.4,Medium
448,Alfa SAB de CV,MEX,ALFAA,49.2,Severe
449,Alfa Transmisora de Energia SA,-,,31.3,High
450,Alfen NV,AMS,ALFEN,18.5,Low
451,Alfresa Holdings Corp.,TKS,2784,17.3,Low
452,Algonquin Power & Utilities Corp.,TSE,AQN,25.3,Medium
453,Algonquin Power Corp.,-,,28.1,Medium
454,Ali Alghanim Sons Automotive Co. KSCC,KUW,ALG,32.8,High
455,ALi Corp.,TAI,3041,39.9,High
456,Aliaxis SA,BRU,1153318,31.2,High
457,Alibaba Group Holding Ltd.,HKG,9988,18.0,Low
458,Alibaba Health Information Technology Ltd.,HKG,241,19.7,Low
459,Alibaba Pictures Group Ltd.,HKG,1060,17.1,Low
