,Company,Ticker_1,Ticker_2,ESG score,ESG risk
5542,Hexatronic Group AB,OME,HTRO,19.8,Low
5543,Hexcel Corp.,NYS,HXL,28.8,Medium
5544,"Hexing Electrical Co., Ltd.",SHG,603556,28.2,Medium
5545,HEXPOL AB,OME,HPOL.B,31.6,High
5546,Hextar Global Bhd.,KLS,5151,42.9,Severe
5547,Hextar Technologies Solutions Bhd.,KLS,5136,24.9,Medium
5548,Hey-Song Corp.,TAI,1234,27.1,Medium
5549,"HF Foods Group, Inc.",NAS,HFFG,17.7,Low
5550,HF Sinclair Corp.,NYS,DINO,38.9,High
5551,HFCL Ltd.,BOM,500183,30.2,High
5552,Hi-Lex Corp.,TKS,7279,23.7,Medium
5553,HIAG Immobilien Holding AG,SWX,HIAG,17.7,Low
5554,"Hibbett, Inc.",-,,16.2,Low
5555,Hibiscus Petroleum Bhd.,KLS,5199,36.5,High
5556,"Hibiya Engineering, Ltd.",TKS,1982,32.5,High
5557,Hiday Hidaka Corp.,TKS,7611,33.5,High
5558,Hidrovias do Brasil SA,BSP,HBSA3,22.8,Medium
5559,"HighPeak Energy, Inc.",NAS,HPK,32.6,High
5560,Highwealth Construction Corp.,TAI,2542,16.6,Low
5561,"Highwoods Properties, Inc.",NYS,HIW,11.7,Low
5562,Hikal Ltd.,BOM,524735,37.4,High
5563,"Hikari Tsushin, Inc.",TKS,9435,23.4,Medium
5564,Hikma Pharmaceuticals Plc,LON,HIK,23.8,Medium
5565,Hilan Ltd.,TAE,HLAN,24.8,Medium
5566,Hill & Smith Plc,LON,HILS,29.7,Medium
5567,"Hillenbrand, Inc.",NYS,HI,29.7,Medium
5568,"HilleVax, Inc.",NAS,HLVX,28.8,Medium
5569,Hillman Solutions Corp.,NAS,HLMN,26.8,Medium
5570,"Hilltop Holdings, Inc.",NYS,HTH,30.1,High
5571,Hilton Food Group Plc,LON,HFG,23.5,Medium
5572,"Hilton Grand Vacations, Inc.",NYS,HGV,23.9,Medium
5573,"Hilton Worldwide Holdings, Inc.",NYS,HLT,17.5,Low
5574,Himadri Speciality Chemical Ltd.,BOM,500184,27.7,Medium
5575,Himalaya Shipping Ltd.,OSL,HSHP,26.5,Medium
5576,"Himile Mechanical Science & Technology (Shandong) Co., Ltd.",SHE,002595,39.5,High
